Rk,Name,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP,Year,Team,Wins,Losses,Previous TS%,Previous TRB%,Previous AST%,Previous BPM,Previous VORP,Previous WS,Previous WS/48,Rookie,Previous VORP Team Rank,Previous TS% Team Rank,Previous TRB% Team Rank,Previous AST% Team Rank,Previous BPM Team Rank,Previous WS Team Rank,Previous WS/48 Team Rank,Top 5 Previous VORP Team Rank,Top 5 Previous TS% Team Rank,Top 5 Previous TRB% Team Rank,Top 5 Previous AST% Team Rank,Top 5 Previous BPM Team Rank,Top 5 Previous WS Team Rank,Top 5 Previous WS/48 Team Rank
5,Aaron McKie,27,82,1952,13.2,0.4970000000000001,0.204,0.246,2.6,11.4,7.0,19.5,2.9,0.7,14.7,17.3,,1.3,3.0,4.3,0.105,,-1.1,2.2,1.2,1.5,2000,PHI,49,33,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,True,True,True,True,True,True
6,Theo Ratliff,26,57,1795,16.7,0.568,0.0,0.481,8.5,18.4,13.4,3.3,0.9,7.0,15.4,17.2,,2.2,3.3,5.6,0.149,,-0.8,2.0,1.2,1.4,2000,PHI,49,33,,,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,False,False,False,False,False,False
7,Matt Geiger,30,65,1406,13.9,0.483,0.006999999999999999,0.238,11.9,18.6,15.2,4.9,1.1,1.1,12.3,23.1,,0.6,2.0,2.6,0.08800000000000001,,-2.1,-1.4,-3.5,-0.5,2000,PHI,49,33,,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,False,False,False,False,False,False,False
8,Larry Hughes,21,50,1018,13.9,0.479,0.111,0.308,5.6,11.8,8.6,13.0,2.7,0.9,15.4,26.7,,-0.5,1.6,1.1,0.05,,-0.9,0.7,-0.2,0.5,2000,PHI,49,33,,,,,,,,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,False,False,False,False,False,False,False
9,Billy Owens,30,46,919,9.8,0.474,0.105,0.248,7.5,15.8,11.5,10.1,1.5,1.3,17.6,16.6,,-0.3,1.3,1.1,0.055,,-3.0,0.8,-2.2,0.0,2000,PHI,49,33,,,,,,,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,False,False,False,False,False,False,False
10,Toni Kukoč,31,32,916,16.4,0.512,0.265,0.324,4.5,12.9,8.6,26.0,1.9,0.7,15.5,22.0,,0.9,1.2,2.2,0.113,,2.0,0.8,2.8,1.1,2000,PHI,49,33,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,False,False,False,False,False,False,False
11,Todd MacCulloch,24,56,528,16.1,0.557,0.0,0.335,9.9,20.8,15.3,4.2,1.1,5.1,12.3,17.5,,0.7,1.0,1.7,0.15,,-1.6,1.6,0.0,0.3,2000,PHI,49,33,,,,,,,,,11.0,11.0,11.0,11.0,11.0,11.0,11.0,False,False,False,False,False,False,False
12,Bruce Bowen,28,42,311,6.0,0.377,0.027000000000000003,0.16399999999999998,4.9,7.9,6.4,7.7,1.5,1.2,6.0,11.7,,-0.1,0.3,0.3,0.039,,-4.0,1.1,-2.8,-0.1,2000,PHI,49,33,,,,,,,,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,False,False,False,False,False,False,False
13,Kevin Ollie,27,40,290,12.9,0.551,0.0,0.755,1.5,10.5,5.9,23.4,1.8,0.0,13.3,11.4,,0.5,0.3,0.9,0.146,,-1.4,2.0,0.6,0.2,2000,PHI,49,33,,,,,,,,,13.0,13.0,13.0,13.0,13.0,13.0,13.0,False,False,False,False,False,False,False
14,Nazr Mohammed,22,28,190,7.0,0.424,0.0,0.407,9.2,20.1,14.5,1.6,1.1,4.6,22.0,18.9,,-0.4,0.3,-0.1,-0.016,,-6.8,-0.1,-7.0,-0.2,2000,PHI,49,33,,,,,,,,,14.0,14.0,14.0,14.0,14.0,14.0,14.0,False,False,False,False,False,False,False
