Year,Team,With Top 5 Players,Total VORP,Total TS%,Total TRB%,Total AST%,Total BPM,Total WS,Total WS/48,Wins,Losses,Total Games,Win %
2008,MIL,True,1.32,55.76000000000001,14.719999999999999,16.2,0.3,4.5200000000000005,0.09860000000000001,26,56,82,0.3170731707317073
2008,MIN,True,0.5599999999999999,54.480000000000004,14.160000000000002,16.22,-0.6199999999999999,3.84,0.10999999999999999,22,60,82,0.2682926829268293
2008,NJN,True,2.6599999999999997,57.999999999999986,15.8,29.720000000000006,2.38,6.839999999999999,0.143,34,48,82,0.4146341463414634
2008,NOH,True,1.7599999999999998,58.3,15.020000000000001,22.84,1.92,5.52,0.1344,56,26,82,0.6829268292682927
2008,NYK,True,1.6,57.66000000000001,16.4,17.800000000000004,1.5399999999999998,5.340000000000001,0.1292,23,59,82,0.2804878048780488
2008,ORL,True,2.12,60.180000000000014,17.62,26.4,1.8400000000000003,5.919999999999999,0.1478,52,30,82,0.6341463414634146
2008,PHI,True,1.36,56.56000000000001,18.02,23.2,0.3,4.94,0.10639999999999998,40,42,82,0.4878048780487805
2008,PHO,True,3.4799999999999995,61.239999999999995,15.12,24.439999999999998,3.3,9.959999999999999,0.1786,55,27,82,0.6707317073170732
2008,POR,True,0.86,53.70000000000002,12.48,24.68,-0.16,3.5,0.09359999999999999,41,41,82,0.5
2008,SAC,True,2.0,58.42,15.819999999999999,21.060000000000002,1.1199999999999999,6.12,0.1278,38,44,82,0.4634146341463415
2008,SAS,True,3.66,61.919999999999995,16.6,29.179999999999996,4.86,8.940000000000001,0.20500000000000002,56,26,82,0.6829268292682927
2008,SEA,True,0.9,55.24,16.5,24.36,0.20000000000000004,4.24,0.13040000000000002,20,62,82,0.24390243902439024
2008,TOR,True,1.9,61.78,14.3,27.9,1.46,6.0,0.14300000000000002,41,41,82,0.5
2008,UTA,True,2.7199999999999998,57.300000000000004,14.719999999999999,21.32,2.6199999999999997,7.0600000000000005,0.1474,54,28,82,0.6585365853658537
2008,WAS,True,2.04,56.400000000000006,13.160000000000002,20.919999999999998,1.06,6.12,0.12279999999999998,43,39,82,0.524390243902439
2009,ATL,True,1.6600000000000001,54.38000000000001,15.059999999999999,26.439999999999998,0.48,5.720000000000001,0.1068,47,35,82,0.573170731707317
2009,BOS,True,3.62,61.22,15.440000000000001,23.1,3.9800000000000004,9.68,0.2122,62,20,82,0.7560975609756098
2009,CHA,True,1.7600000000000002,57.18,17.580000000000002,19.4,1.48,5.159999999999999,0.1222,35,47,82,0.4268292682926829
2009,CHI,True,1.34,55.199999999999996,15.34,20.68,0.38,4.7,0.10740000000000001,41,41,82,0.5
2009,CLE,True,2.7800000000000002,56.42,15.52,23.06,2.38,6.5,0.1376,66,16,82,0.8048780487804879
2009,DAL,True,2.9800000000000004,59.3,15.780000000000001,23.62,2.84,7.959999999999999,0.165,50,32,82,0.6097560975609756
2009,DEN,True,3.0599999999999996,61.84,15.080000000000002,25.5,2.9,8.6,0.1728,54,28,82,0.6585365853658537
2009,DET,True,3.78,57.96000000000001,15.539999999999997,25.5,3.6799999999999997,9.58,0.1872,39,43,82,0.47560975609756095
2009,GSW,True,2.0,58.83999999999999,13.319999999999999,19.02,1.1199999999999999,6.859999999999999,0.1474,29,53,82,0.35365853658536583
2009,HOU,True,2.6,60.699999999999996,16.160000000000004,23.3,2.94,6.76,0.19640000000000002,53,29,82,0.6463414634146342
2009,IND,True,1.92,62.88,16.560000000000002,25.0,2.7,6.4799999999999995,0.16240000000000002,36,46,82,0.43902439024390244
2009,LAC,True,2.14,59.720000000000006,17.580000000000002,20.939999999999998,2.1800000000000006,5.2,0.14720000000000003,19,63,82,0.23170731707317074
